code;code0;code1;nivel0;nivel1
R253;R00-R99;R25-R29; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN LOS SISTEMAS NERVIOSO Y OSTEOMUSCULAR
R599;R00-R99;R50-R69; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS GENERALES
R560;R00-R99;R50-R69; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS GENERALES
R040;R00-R99;R00-R09; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN LOS SISTEMAS CIRCULATORIO Y RESPIRATORIO
R072;R00-R99;R00-R09; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN LOS SISTEMAS CIRCULATORIO Y RESPIRATORIO
R074;R00-R99;R00-R09; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN LOS SISTEMAS CIRCULATORIO Y RESPIRATORIO
R21;R00-R99;R20-R23; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN LA PIEL Y EL TEJIDO SUBCUTÁNEO
R300;R00-R99;R30-R39; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN EL SISTEMA URINARIO
R100;R00-R99;R10-R19; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN EL SISTEMA DIGESTIVO Y EL ABDOMEN
R568;R00-R99;R50-R69; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS GENERALES
R234;R00-R99;R20-R23; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN LA PIEL Y EL TEJIDO SUBCUTÁNEO
R591;R00-R99;R50-R69; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS GENERALES
R001;R00-R99;R00-R09; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN LOS SISTEMAS CIRCULATORIO Y RESPIRATORIO
R32;R00-R99;R30-R39; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN EL SISTEMA URINARIO
R162;R00-R99;R10-R19; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN EL SISTEMA DIGESTIVO Y EL ABDOMEN
R55;R00-R99;R50-R69; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS GENERALES
R000;R00-R99;R00-R09; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN LOS SISTEMAS CIRCULATORIO Y RESPIRATORIO
R13;R00-R99;R10-R19; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN EL SISTEMA DIGESTIVO Y EL ABDOMEN
R262;R00-R99;R25-R29; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN LOS SISTEMAS NERVIOSO Y OSTEOMUSCULAR
R579;R00-R99;R50-R69; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS GENERALES
R042;R00-R99;R00-R09; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN LOS SISTEMAS CIRCULATORIO Y RESPIRATORIO
R260;R00-R99;R25-R29; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN LOS SISTEMAS NERVIOSO Y OSTEOMUSCULAR
R632;R00-R99;R50-R69; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS GENERALES
R619;R00-R99;R50-R69; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS GENERALES
R251;R00-R99;R25-R29; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN LOS SISTEMAS NERVIOSO Y OSTEOMUSCULAR
R35;R00-R99;R30-R39; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN EL SISTEMA URINARIO
R18;R00-R99;R10-R19; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN EL SISTEMA DIGESTIVO Y EL ABDOMEN
R634;R00-R99;R50-R69; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS GENERALES
R203;R00-R99;R20-R23; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN LA PIEL Y EL TEJIDO SUBCUTÁNEO
R17;R00-R99;R10-R19; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN EL SISTEMA DIGESTIVO Y EL ABDOMEN
R630;R00-R99;R50-R69; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS GENERALES
R470;R00-R99;R47-R49; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN EL HABLA Y LA VOZ
R292;R00-R99;R25-R29; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN LOS SISTEMAS NERVIOSO Y OSTEOMUSCULAR
R480;R00-R99;R47-R49; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN EL HABLA Y LA VOZ
R635;R00-R99;R50-R69; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS GENERALES
R261;R00-R99;R25-R29; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN LOS SISTEMAS NERVIOSO Y OSTEOMUSCULAR
R270;R00-R99;R25-R29; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS QUE INVOLUCRAN LOS SISTEMAS NERVIOSO Y OSTEOMUSCULAR
R570;R00-R99;R50-R69; SÍNTOMAS, SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO, NO CLASIFICADOS EN OTRA PARTE;SÍNTOMAS Y SIGNOS GENERALES
Y590;V01-Y99;Y40-Y84;CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD;COMPLICACIONES DE LA ATENCIÓN MÉDICA Y QUIRÚRGICA
W54;V01-Y99;V01-X59;CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD;ACCIDENTES
P05;P00-P96;P05-P08;CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL;TRASTORNOS RELACIONADOS CON LA DURACIÓN DE LA GESTACIÓN Y EL CRECIMIENTO FETAL
B309;A00-B99;B25-B34;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;OTRAS ENFERMEDADES VIRALES
B34;A00-B99;B25-B34;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;OTRAS ENFERMEDADES VIRALES
A084;A00-B99;A00-A09;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;ENFERMEDADES INFECCIOSAS INTESTINALES
A059;A00-B99;A00-A09;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;ENFERMEDADES INFECCIOSAS INTESTINALES
B86;A00-B99;B85-B89;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;PEDICULOSIS, ACARIASIS Y OTRAS INFESTACIONES
A60;A00-B99;A50-A64;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;PREDOMINANTEMENTE SEXUAL
A37;A00-B99;A30-A49;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;OTRAS ENFERMEDADES BACTERIANAS
B26;A00-B99;B25-B34;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;OTRAS ENFERMEDADES VIRALES
A39;A00-B99;A30-A49;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;OTRAS ENFERMEDADES BACTERIANAS
B379;A00-B99;B35-B49;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;MICOSIS
B00;A00-B99;B00-B09;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;INFECCIONES VIRALES CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS
B02;A00-B99;B00-B09;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;INFECCIONES VIRALES CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS
B07;A00-B99;B00-B09;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;INFECCIONES VIRALES CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS
B04;A00-B99;B00-B09;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;INFECCIONES VIRALES CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS
B082;A00-B99;B00-B09;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;INFECCIONES VIRALES CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS
B37;A00-B99;B35-B49;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;MICOSIS
A64;A00-B99;A50-A64;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;PREDOMINANTEMENTE SEXUAL
B279;A00-B99;B25-B34;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;OTRAS ENFERMEDADES VIRALES
A049;A00-B99;A00-A09;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;ENFERMEDADES INFECCIOSAS INTESTINALES
A90;A00-B99;A90-A99;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;FIEBRES VIRALES TRANSMITIDAS POR ARTRÓPODOS Y FIEBRES VIRALES HEMORRÁGICAS
B24;A00-B99;B20-B24;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA ­HUMANA [VIH]
B09;A00-B99;B00-B09;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;INFECCIONES VIRALES CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS
B259;A00-B99;B25-B34;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;OTRAS ENFERMEDADES VIRALES
A15;A00-B99;A15-A19;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;TUBERCULOSIS
A54;A00-B99;A50-A64;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;PREDOMINANTEMENTE SEXUAL
B209;A00-B99;B20-B24;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA ­HUMANA [VIH]
B23;A00-B99;B20-B24;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA ­HUMANA [VIH]
A419;A00-B99;A30-A49;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;OTRAS ENFERMEDADES BACTERIANAS
A43;A00-B99;A30-A49;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;OTRAS ENFERMEDADES BACTERIANAS
A42;A00-B99;A30-A49;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;OTRAS ENFERMEDADES BACTERIANAS
B083;A00-B99;B00-B09;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;INFECCIONES VIRALES CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS
A06;A00-B99;A00-A09;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;ENFERMEDADES INFECCIOSAS INTESTINALES
B171;A00-B99;B15-B19;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;HEPATITIS VIRAL
B181;A00-B99;B15-B19;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;HEPATITIS VIRAL
B48;A00-B99;B35-B49;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;MICOSIS
A071;A00-B99;A00-A09;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;ENFERMEDADES INFECCIOSAS INTESTINALES
B199;A00-B99;B15-B19;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;HEPATITIS VIRAL
A00;A00-B99;A00-A09;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;ENFERMEDADES INFECCIOSAS INTESTINALES
B178;A00-B99;B15-B19;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;HEPATITIS VIRAL
A02;A00-B99;A00-A09;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;ENFERMEDADES INFECCIOSAS INTESTINALES
A32;A00-B99;A30-A49;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;OTRAS ENFERMEDADES BACTERIANAS
B189;A00-B99;B15-B19;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;HEPATITIS VIRAL
A74;A00-B99;A70-A74;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;OTRAS ENFERMEDADES CAUSADAS POR CLAMIDIAS
A01;A00-B99;A00-A09;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;ENFERMEDADES INFECCIOSAS INTESTINALES
A59;A00-B99;A50-A64;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;PREDOMINANTEMENTE SEXUAL
A51;A00-B99;A50-A64;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;PREDOMINANTEMENTE SEXUAL
A04;A00-B99;A00-A09;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;ENFERMEDADES INFECCIOSAS INTESTINALES
B82;A00-B99;B65-B83;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;HELMINTIASIS
B221;A00-B99;B20-B24;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA ­HUMANA [VIH]
B44;A00-B99;B35-B49;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;MICOSIS
A55;A00-B99;A50-A64;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;PREDOMINANTEMENTE SEXUAL
A63;A00-B99;A50-A64;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;PREDOMINANTEMENTE SEXUAL
B39;A00-B99;B35-B49;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;MICOSIS
B57;A00-B99;B50-B64;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;ENFERMEDADES DEBIDAS A PROTOZOARIOS
A072;A00-B99;A00-A09;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;ENFERMEDADES INFECCIOSAS INTESTINALES
B059;A00-B99;B00-B09;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;INFECCIONES VIRALES CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS
B377;A00-B99;B35-B49;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;MICOSIS
B081;A00-B99;B00-B09;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;INFECCIONES VIRALES CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS
B182;A00-B99;B15-B19;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;HEPATITIS VIRAL
A36;A00-B99;A30-A49;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;OTRAS ENFERMEDADES BACTERIANAS
A48;A00-B99;A30-A49;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;OTRAS ENFERMEDADES BACTERIANAS
BIO;BIO;BIO;CIRUGIA;CIRUGIA
O200;O00-O9A;O20-O29;EMBARAZO, PARTO Y PUERPERIO;OTROS TRASTORNOS MATERNOS RELACIONADOS PRINCIPALMENTE CON EL EMBARAZO
O23;O00-O9A;O20-O29;EMBARAZO, PARTO Y PUERPERIO;OTROS TRASTORNOS MATERNOS RELACIONADOS PRINCIPALMENTE CON EL EMBARAZO
O04;O00-O9A;O00-O08;EMBARAZO, PARTO Y PUERPERIO;EMBARAZO TERMINADO EN ABORTO
O21;O00-O9A;O20-O29;EMBARAZO, PARTO Y PUERPERIO;OTROS TRASTORNOS MATERNOS RELACIONADOS PRINCIPALMENTE CON EL EMBARAZO
O06;O00-O9A;O00-O08;EMBARAZO, PARTO Y PUERPERIO;EMBARAZO TERMINADO EN ABORTO
O20;O00-O9A;O20-O29;EMBARAZO, PARTO Y PUERPERIO;OTROS TRASTORNOS MATERNOS RELACIONADOS PRINCIPALMENTE CON EL EMBARAZO
O00;O00-O9A;O00-O08;EMBARAZO, PARTO Y PUERPERIO;EMBARAZO TERMINADO EN ABORTO
O91;O00-O9A;O85-O92;EMBARAZO, PARTO Y PUERPERIO;COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL PUERPERIO
O03;O00-O9A;O00-O08;EMBARAZO, PARTO Y PUERPERIO;EMBARAZO TERMINADO EN ABORTO
O020;O00-O9A;O00-O08;EMBARAZO, PARTO Y PUERPERIO;EMBARAZO TERMINADO EN ABORTO
O01;O00-O9A;O00-O08;EMBARAZO, PARTO Y PUERPERIO;EMBARAZO TERMINADO EN ABORTO
O264;O00-O9A;O20-O29;EMBARAZO, PARTO Y PUERPERIO;OTROS TRASTORNOS MATERNOS RELACIONADOS PRINCIPALMENTE CON EL EMBARAZO
L60;L00-L99;L60-L75;ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO;TRASTORNOS DE LAS FANERAS
